sentence_id,token,tag
0,gerät,O
0,licht,O
0,ausschalten,O
1,srf zwei,B
2,gehe,O
2,zu,O
2,den,O
2,einstellungen,O
3,aufnahmen,O
4,schalte,O
4,auf,O
4,sat eins,B
5,filme,O
6,geh,O
6,zu,O
6,den,O
6,aufnahmen,O
7,geh,O
7,zu,O
7,das,O
7,erste,O
8,ich,O
8,möchte,O
8,teleclub,O
8,schauen,O
9,spiel,O
9,swr drei,B
10,hey,O
10,swisscom,B
10,geh,O
10,zu,O
10,n vierundzwanzig,B
11,sender eins,B
12,zeige,O
12,mir,O
12,bauer,O
12,ledig,O
12,sucht,O
13,srf eins,B
14,ard,O
15,dreissig,O
15,sekunden,O
15,zurück,O
16,keanu,O
16,reeves,O
17,dreissig,O
17,sekunden,O
17,zurück,O
18,keanu,O
18,reeves,O
19,harrison,O
19,ford,O
20,suche,O
20,keanu,O
20,reeves,O
21,sechshundert sekunden zurückspulen,B
22,wie,O
22,wird,O
22,das,O
22,wetter,O
22,in,O
22,zermatt,O
23,kaffeemaschine,O
23,einschalten,O
24,kaffeemaschine,O
24,einschalten,O
25,kaffeemaschine,O
25,ein,O
26,suche,O
26,srf,O
26,meteo,O
27,hey,O
27,swisscom,O
27,suche,O
27,den,O
27,film,O
27,matrix,O
28,hey,O
28,swisscom,O
28,suche,O
28,den,O
28,sender,O
28,prosieben,O
29,hey,O
29,swisscom,O
29,suche,O
29,einen,O
29,science,O
29,fiction,O
29,film,O
30,mach,O
30,netflix,O
30,auf,O
31,mach,O
31,netflix,O
31,auf,O
32,suche,O
32,einen,O
32,actionfilm,O
33,mach,O
33,netflix,O
33,auf,O
34,gerät,O
34,kronleuchter,O
34,ausschalten,O
35,szene,O
35,wohnzimmer,O
35,ausschalten,O
36,geh,O
36,zu,O
36,kanal hundert sieben,B
37,starte,O
37,netflix,O
38,suche,O
38,christmas,O
39,hey,O
39,swisscom,O
39,suche,O
39,christmas,O
40,gerät,O
40,licht,O
40,ausschalten,O
41,gerät,O
41,licht,O
41,ausschalten,O
42,gerät,O
42,licht,O
42,ausschalten,O
43,rtl,O
44,schalte,O
44,auf,O
44,den,O
44,schweizer,O
45,schalte,O
45,auf,O
45,den,O
45,teleclub,O
46,schalte,O
46,mir,O
46,auf,O
46,den,O
46,vox,O
47,zdf,O
48,rtl,O
49,rufe,O
49,rita,O
49,gschwind,O
49,an,O
50,srf eins,B
51,hey,O
51,swisscom,O
51,ich,O
51,möchte,O
51,radio,O
51,zürichsee,O
51,hören,O
52,zdf,O
53,rtl zwei,B
54,sat eins,B
55,kindersendung,O
56,geh,O
56,zu,O
56,srf eins,B
57,zeig,O
57,mir,O
57,in,O
57,aller,O
57,freundschaft,O
58,kindersendungen,O
59,geh,O
59,zu,O
59,eurosport,O
60,zeig,O
60,mir,O
60,meine,O
60,fotos,O
60,auf,O
60,mycloud,O
61,zum,O
61,startbildschirm,O
62,schalte,O
62,den,O
62,radio,O
62,ein,O
63,hey,O
63,swisscom,O
63,deluxe,O
63,music,O
64,auf,O
64,den,O
64,teleclub,O
65,schalte,O
65,mir,O
65,auf,O
65,den,O
65,teleclub,O
66,schalte,O
66,mir,O
66,die,O
66,sonos,O
66,anlage,O
66,ein,O
67,wechsle,O
67,auf,O
67,den,B
67,sender neunzig,B
68,bitte,O
68,licht,O
68,einschalten,O
69,öffne,O
69,plex,O
70,rtl zwei,B
71,schalte,O
71,auf,O
71,prosieben,O
72,wie,O
72,ist,O
72,das,O
72,wetter,O
72,in,O
72,bern,O
73,schalte,O
73,stehlampe,O
73,an,O
74,sonos,O
74,an,O
75,kochlampe,O
75,an,O
76,srf eins,B
77,ard,O
78,zdf,O
79,wie,O
79,ist,O
79,das,O
79,wetter,O
79,in,O
79,schweden,O
80,wie,O
80,wird,O
80,das,O
80,wetter,O
80,in,O
80,stockholm,O
81,my,O
81,swisscom,O
81,zdf,O
82,wie,O
82,wird,O
82,das,O
82,wetter,O
82,in,O
82,bürchen,O
83,wie,O
